# seed library for xarm7 (Halton joints + FK forward + voxel dedup)
# version: v1.1  base_version: v1 (entries=8000)
# increment: 姿态感知覆盖驱动拒绝采样 +4000 (组合度量 gap>0.05), 2026-09-17 14:01
# generated: 2026-09-17 14:01  urdf=/tmp/verify_xarm7.urdf (verify_robot.sh 产物)
# entries=12000 voxel=0.03m orient_bucket=0.5
# 查询端参数 (dls_ik): 组合度量 dp + 0.35*(1-|q·q'|), 分支封顶<=2, top-6
# format: qw qx qy qz x y z | j1 .. j7 br   (br = L1 最近分支 0-3, 查询端封顶选种用)
0.346817 0.789808 0.502572 0.057817 0.124886 0.096182 0.058179 | 1.632719 0.483275 5.479658 0.198291 -1.673057 0.371246 1.438698 2
0.648268 -0.511699 0.448925 0.341144 0.352799 -0.065360 0.505901 | -1.508874 1.867742 -4.070783 0.786716 -0.530660 0.743135 2.177896 0
0.889315 0.439978 -0.088838 -0.087439 -0.517268 0.208728 0.280686 | 4.774311 -1.670340 -1.557509 1.375142 0.611737 1.115024 2.917094 3
0.539167 0.572551 -0.434144 -0.439320 -0.286658 0.259205 0.834291 | -5.435865 -0.285873 0.955765 1.963568 1.754135 1.486914 3.656293 0
0.123493 0.247321 0.894858 0.350443 0.442139 0.406741 0.680513 | 0.847321 1.098594 3.469039 2.551993 2.896532 1.858803 4.395491 0
0.274457 -0.391450 -0.872448 0.101367 0.376897 0.520276 0.374983 | -2.294272 -1.208851 5.982313 3.140419 4.038929 2.230693 5.134689 2
0.357932 0.151000 -0.912862 0.125568 -0.100810 0.094086 0.803059 | 3.988913 0.175616 -5.980872 3.728845 5.181327 2.602582 5.873887 0
0.272725 -0.774320 0.311085 0.478827 -0.044954 0.008125 0.378358 | -3.865068 1.560082 -3.467598 0.282351 -6.138792 2.974472 -5.909803 1
0.571851 -0.325715 0.744738 -0.110728 0.257608 0.213445 0.485982 | 2.418117 -0.747362 -0.954324 0.870777 -4.996395 -1.459595 -5.170604 1
0.070541 0.438257 0.877454 0.181743 0.402552 0.135728 0.412761 | -0.723476 0.637105 1.558951 1.459203 -3.853998 -1.087705 -4.431406 1
0.659097 0.550388 -0.044612 -0.510562 0.126510 -0.571842 0.253357 | 5.559710 2.021571 4.072225 2.047629 -2.711600 -0.715816 -3.692208 1
0.572430 0.195791 -0.755763 -0.250622 -0.684591 -0.107974 0.075302 | -5.828564 -1.926723 -5.478217 2.636054 -1.569203 -0.343926 -2.953010 3
0.518232 0.238792 -0.037212 -0.820384 -0.230222 -0.120765 0.952337 | 0.454622 -0.542256 -2.964943 3.224480 -0.426806 0.027963 -2.213811 3
0.882543 0.349244 -0.059792 -0.309148 -0.169611 -0.214386 0.878320 | -2.686971 0.842211 -0.451669 3.812906 0.715592 0.399852 -1.474613 1
0.262535 0.690552 -0.671829 -0.053476 0.025720 -0.270333 0.105863 | 3.596214 -1.465234 2.061605 0.366412 1.857989 0.771742 -0.735415 2
0.848836 -0.113298 0.489425 0.164635 0.476137 0.153013 0.402764 | -4.257767 -0.080767 4.574880 0.954838 3.000386 1.143631 0.003784 2
